Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2022-06-15,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-06-16,Summer,Offshore Wind,2,Onshore Wind,2,Solar,1
2022-06-17,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-06-18,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2022-06-19,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-06-20,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-06-21,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2022-06-22,Summer,Offshore Wind,2,Onshore Wind,2,Solar,2
2022-06-23,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-06-24,Summer,Offshore Wind,0,Onshore Wind,2,Solar,1
2022-06-25,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-06-26,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-06-27,Summer,Offshore Wind,1,Onshore Wind,0,Solar,0
2022-06-28,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-06-29,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-06-30,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-07-01,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-07-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-07-03,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-07-04,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-07-05,Summer,Offshore Wind,1,Onshore Wind,1,Solar,1
2022-07-06,Summer,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-07-07,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2022-07-08,Summer,Offshore Wind,2,Onshore Wind,0,Solar,0
